Season,Team,Own Third,Middle Third,Opposition Third
16/17,Hull,0.32,0.45,0.23
16/17,Sunderland,0.31,0.43,0.26
16/17,Middlesbrough,0.31,0.46,0.23
16/17,West Bromwich,0.31,0.43,0.26
16/17,Burnley,0.30,0.43,0.27
16/17,Watford,0.30,0.43,0.28
16/17,Crystal Palace,0.30,0.41,0.29
16/17,Bournemouth,0.30,0.43,0.28
16/17,Everton,0.29,0.43,0.28
16/17,Stoke,0.29,0.45,0.27
16/17,Leicester,0.28,0.45,0.27
16/17,Swansea,0.28,0.45,0.27
16/17,West Ham,0.27,0.47,0.27
16/17,Arsenal,0.26,0.43,0.32
16/17,Chelsea,0.26,0.44,0.29
16/17,Southampton,0.26,0.46,0.28
16/17,Tottenham,0.25,0.43,0.32
16/17,Manchester United,0.25,0.45,0.31
16/17,Manchester City,0.23,0.44,0.33
16/17,Liverpool,0.23,0.45,0.32
17/18,Brighton,0.32,0.45,0.23
17/18,Everton,0.31,0.43,0.27
17/18,West Bromwich,0.31,0.43,0.26
17/18,Swansea,0.30,0.46,0.25
17/18,Bournemouth,0.30,0.43,0.27
17/18,Stoke,0.30,0.45,0.26
17/18,Leicester,0.29,0.45,0.27
17/18,West Ham,0.29,0.45,0.25
17/18,Newcastle,0.29,0.45,0.25
17/18,Burnley,0.29,0.43,0.28
17/18,Crystal Palace,0.29,0.43,0.28
17/18,Huddersfield,0.28,0.45,0.27
17/18,Chelsea,0.27,0.44,0.29
17/18,Southampton,0.27,0.45,0.28
17/18,Manchester United,0.27,0.44,0.30
17/18,Arsenal,0.26,0.44,0.30
17/18,Watford,0.26,0.44,0.29
17/18,Tottenham,0.25,0.44,0.32
17/18,Liverpool,0.23,0.47,0.30
17/18,Manchester City,0.21,0.44,0.34
18/19,Bournemouth,0.31,0.44,0.26
18/19,Newcastle,0.30,0.47,0.24
18/19,Brighton,0.30,0.45,0.23
18/19,Crystal Palace,0.30,0.45,0.25
18/19,Arsenal,0.29,0.45,0.27
18/19,Burnley,0.29,0.45,0.27
18/19,Fulham,0.29,0.47,0.24
18/19,Leicester,0.28,0.46,0.27
18/19,West Ham,0.28,0.47,0.25
18/19,Watford,0.28,0.45,0.27
18/19,Cardiff,0.28,0.44,0.28
18/19,Tottenham,0.27,0.45,0.28
18/19,Southampton,0.27,0.46,0.28
18/19,Everton,0.27,0.44,0.30
18/19,Wolverhampton,0.27,0.48,0.24
18/19,Manchester United,0.27,0.46,0.27
18/19,Huddersfield,0.26,0.46,0.27
18/19,Chelsea,0.24,0.44,0.32
18/19,Liverpool,0.23,0.47,0.31
18/19,Manchester City,0.19,0.46,0.35
19/20,Norwich,0.35,0.42,0.23
19/20,Arsenal,0.32,0.42,0.27
19/20,Aston Villa,0.32,0.41,0.27
19/20,Newcastle,0.31,0.46,0.22
19/20,Crystal Palace,0.31,0.43,0.26
19/20,Bournemouth,0.30,0.43,0.27
19/20,Tottenham,0.29,0.46,0.26
19/20,Brighton,0.29,0.43,0.28
19/20,Leicester,0.28,0.44,0.28
19/20,Watford,0.28,0.44,0.28
19/20,Wolverhampton,0.28,0.47,0.26
19/20,Everton,0.28,0.43,0.29
19/20,West Ham,0.28,0.45,0.27
19/20,Manchester United,0.27,0.43,0.30
19/20,Burnley,0.27,0.44,0.29
19/20,Sheffield United,0.26,0.43,0.32
19/20,Chelsea,0.25,0.45,0.30
19/20,Southampton,0.25,0.45,0.30
19/20,Liverpool,0.23,0.44,0.33
19/20,Manchester City,0.21,0.43,0.36
20/21,Leeds,0.32,0.41,0.27
20/21,Newcastle,0.32,0.44,0.25
20/21,Everton,0.31,0.44,0.25
20/21,West Bromwich,0.31,0.43,0.27
20/21,Crystal Palace,0.30,0.46,0.24
20/21,Aston Villa,0.30,0.41,0.31
20/21,Tottenham,0.29,0.46,0.25
20/21,Arsenal,0.28,0.43,0.29
20/21,Leicester,0.28,0.45,0.28
20/21,Southampton,0.28,0.46,0.26
20/21,Chelsea,0.28,0.44,0.29
20/21,West Ham,0.28,0.46,0.27
20/21,Wolverhampton,0.28,0.46,0.26
20/21,Brighton,0.28,0.43,0.29
20/21,Sheffield United,0.28,0.43,0.30
20/21,Fulham,0.28,0.43,0.27
20/21,Burnley,0.27,0.43,0.30
20/21,Manchester United,0.26,0.42,0.31
20/21,Liverpool,0.23,0.44,0.34
20/21,Manchester City,0.20,0.46,0.33
21/22,Norwich,0.34,0.41,0.24
21/22,Leicester,0.32,0.43,0.25
21/22,Brentford,0.32,0.41,0.26
21/22,Wolverhampton,0.32,0.44,0.25
21/22,Leeds,0.31,0.41,0.27
21/22,Watford,0.31,0.43,0.27
21/22,Crystal Palace,0.31,0.43,0.27
21/22,Newcastle,0.30,0.44,0.26
21/22,Burnley,0.29,0.41,0.30
21/22,West Ham,0.29,0.43,0.29
21/22,Tottenham,0.29,0.44,0.26
21/22,Everton,0.29,0.43,0.29
21/22,Aston Villa,0.28,0.42,0.29
21/22,Manchester United,0.28,0.43,0.28
21/22,Brighton,0.28,0.41,0.30
21/22,Arsenal,0.27,0.42,0.32
21/22,Southampton,0.27,0.42,0.30
21/22,Chelsea,0.26,0.43,0.31
21/22,Liverpool,0.22,0.43,0.35
21/22,Manchester City,0.20,0.43,0.38