Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_pk,season
Jed Steer,eng ENG,GK,Aston Villa,26,1992,1,1,7,0.1,,,,,,,,1,,,,,,,,19/20
Mark Travers,ie IRL,GK,Bournemouth,20,1999,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,,19/20
Alisson,br BRA,GK,Liverpool,25,1992,38,38,3420,38,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,,18/19
Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,3240,36,39,1.08,121,81,68.6,20,8,8,14,38.9,2,1,1,0,50,18/19
Asmir Begović,ba BIH,GK,Bournemouth,31,1987,24,24,2160,24,47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,0,18/19
Marcus Bettinelli,eng ENG,GK,Fulham,26,1992,7,7,630,7,20,2.86,40,19,52.5,1,2,4,0,0,3,1,1,1,50,18/19
Artur Boruc,pl POL,GK,Bournemouth,38,1980,12,12,1080,12,18,1.5,56,38,73.2,4,3,5,4,33.3,3,3,0,0,0,18/19
David Button,eng ENG,GK,Brighton,29,1989,4,4,360,4,5,1.25,18,13,83.3,1,1,2,1,25,2,2,0,0,0,18/19
Willy Caballero,ar ARG,GK,Chelsea,36,1981,2,2,180,2,0,0,3,3,100,1,1,0,2,100,0,0,0,0,,18/19
Petr Čech,cz CZE,GK,Arsenal,36,1982,7,7,585,6.5,9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,0,,18/19
Joel Coleman,eng ENG,GK,Huddersfield,22,1995,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,,18/19
Martin Dúbravka,sk SVK,GK,Newcastle Utd,29,1989,38,38,3420,38,48,1.26,140,93,70,12,9,17,11,28.9,6,6,0,0,0,18/19
Ederson,br BRA,GK,Manchester City,24,1993,38,38,3420,38,23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,0,18/19
Neil Etheridge,ph PHI,GK,Cardiff City,28,1990,38,38,3420,38,69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,0,42.9,18/19
Łukasz Fabiański,pl POL,GK,West Ham,33,1985,38,38,3420,38,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20,18/19
Fabricio,es ESP,GK,Fulham,30,1987,2,2,180,2,5,2.5,21,16,76.2,0,0,2,0,0,0,0,0,0,,18/19
Fraser Forster,eng ENG,GK,Southampton,30,1988,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,,18/19
Ben Foster,eng ENG,GK,Watford,35,1983,38,38,3420,38,59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,0,20,18/19
Paulo Gazzaniga,ar ARG,GK,Tottenham,26,1992,3,3,270,3,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,0,,18/19
David de Gea,es ESP,GK,Manchester Utd,27,1990,38,38,3420,38,54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,0,18/19
Vicente Guaita,es ESP,GK,Crystal Palace,31,1987,20,20,1755,19.5,23,1.18,85,63,74.1,10,4,6,7,35,1,1,0,0,0,18/19
Angus Gunn,sct SCO,GK,Southampton,22,1996,12,12,1080,12,18,1.5,50,31,64,4,4,4,3,25,1,0,1,0,100,18/19
Ben Hamer,eng ENG,GK,Huddersfield,30,1987,7,7,553,6.1,21,3.42,42,22,57.1,0,1,6,0,0,3,3,0,0,0,18/19
Joe Hart,eng ENG,GK,Burnley,31,1987,19,19,1710,19,41,2.16,116,75,65.5,3,3,13,4,21.1,2,1,1,0,50,18/19
Tom Heaton,eng ENG,GK,Burnley,32,1986,19,19,1710,19,27,1.42,83,59,68.7,8,4,7,4,21.1,1,1,0,0,0,18/19
Wayne Hennessey,wls WAL,GK,Crystal Palace,31,1987,18,17,1575,17.5,26,1.49,69,42,66.7,4,3,10,5,29.4,4,3,1,0,25,18/19
Bernd Leno,de GER,GK,Arsenal,26,1992,32,31,2835,31.5,42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,0,18/19
Hugo Lloris,fr FRA,GK,Tottenham,31,1986,33,33,2970,33,33,1,130,98,76.9,21,2,10,12,36.4,5,3,2,0,40,18/19
Jonas Lössl,dk DEN,GK,Huddersfield,29,1989,31,30,2777,30.9,54,1.75,141,86,64.5,3,5,22,5,16.7,5,4,1,0,20,18/19
Alex McCarthy,eng ENG,GK,Southampton,28,1989,25,25,2250,25,44,1.76,119,78,64.7,5,8,12,4,16,2,2,0,0,0,18/19
Will Norris,eng ENG,GK,Wolves,24,1993,1,0,,0,0,,0,0,,0,0,0,1,,0,0,0,0,,18/19
Rui Patrício,pt POR,GK,Wolves,30,1988,37,37,3330,37,46,1.24,138,96,68.8,15,9,13,7,18.9,4,3,0,1,0,18/19
Jordan Pickford,eng ENG,GK,Everton,24,1994,38,38,3420,38,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60,18/19
Sergio Rico,es ESP,GK,Fulham,24,1993,29,29,2610,29,56,1.93,165,111,68.5,6,3,20,5,17.2,4,4,0,0,0,18/19
John Ruddy,eng ENG,GK,Wolves,31,1986,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,18/19
Mathew Ryan,au AUS,GK,Brighton,26,1992,34,34,3060,34,55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,0,18/19
Kasper Schmeichel,dk DEN,GK,Leicester City,31,1986,38,38,3420,38,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0,18/19
Julián Speroni,ar ARG,GK,Crystal Palace,39,1979,1,1,90,1,4,4,9,5,55.6,0,0,1,0,0,0,0,0,0,,18/19
Mark Travers,ie IRL,GK,Bournemouth,19,1999,2,2,180,2,5,2.5,13,9,61.5,1,0,1,1,50,0,0,0,0,,18/19
Michel Vorm,nl NED,GK,Tottenham,34,1983,2,2,180,2,4,2,13,9,69.2,0,0,2,0,0,0,0,0,0,,18/19
Adrián,es ESP,GK,West Ham,30,1987,19,19,1710,19,29,1.53,96,68,70.8,7,6,6,6,31.6,1,1,0,0,0,17/18
Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,38,3420,38,61,1.61,170,109,65.3,11,11,16,6,15.8,3,2,1,0,33.3,17/18
Claudio Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,2.5,1,0.4,5,4,80,2,0,0,2,100,0,0,0,0,,17/18
Jack Butland,eng ENG,GK,Stoke City,24,1993,35,35,3150,35,61,1.74,201,142,72.1,7,11,17,6,17.1,5,5,0,0,0,17/18
Willy Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,3,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,0,,17/18
Petr Čech,cz CZE,GK,Arsenal,35,1982,34,34,3039,33.8,48,1.42,135,85,68.1,16,6,12,11,32.4,6,5,1,0,16.7,17/18
Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,35,3150,35,34,0.97,106,74,69.8,20,6,9,15,42.9,2,2,0,0,0,17/18
Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,10,15,1.5,47,34,74.5,1,5,4,2,20,3,3,0,0,0,17/18
Martin Dúbravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,1080,12,11,0.92,37,25,70.3,6,1,5,4,33.3,1,0,1,0,100,17/18
Ederson,br BRA,GK,Manchester City,23,1993,36,36,3194,35.5,26,0.73,80,54,67.5,30,4,2,16,44.4,2,0,2,0,100,17/18
Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,1440,16,21,1.31,64,43,68.8,5,2,9,3,18.8,2,1,1,0,50,17/18
Łukasz Fabiański,pl POL,GK,Swansea City,32,1985,38,38,3420,38,56,1.47,190,133,72.1,8,9,21,9,23.7,6,3,3,0,50,17/18
Fraser Forster,eng ENG,GK,Southampton,29,1988,20,20,1800,20,30,1.5,97,66,69.1,4,7,9,4,20,1,0,1,0,100,17/18
Ben Foster,eng ENG,GK,West Brom,34,1983,37,37,3330,37,55,1.49,151,98,64.2,6,12,19,10,27,1,1,0,0,0,17/18
Paulo Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,17/18
David de Gea,es ESP,GK,Manchester Utd,26,1990,37,37,3330,37,28,0.76,140,114,80.7,24,6,7,18,48.6,1,1,0,0,0,17/18
Heurelho Gomes,br BRA,GK,Watford,36,1981,24,24,2128,23.6,40,1.69,100,61,63,7,5,12,5,20.8,3,3,0,0,0,17/18
Lee Grant,eng ENG,GK,Stoke City,34,1983,3,3,270,3,7,2.33,15,8,53.3,0,1,2,0,0,0,0,0,0,,17/18
Ben Hamer,eng ENG,GK,Leicester City,29,1987,4,3,275,3.1,7,2.29,13,6,53.8,0,1,2,1,33.3,1,1,0,0,0,17/18
Joe Hart,eng ENG,GK,West Ham,30,1987,19,19,1710,19,39,2.05,91,51,61.5,3,6,10,4,21.1,5,4,1,0,20,17/18
Tom Heaton,eng ENG,GK,Burnley,31,1986,4,4,305,3.4,4,1.18,12,8,66.7,2,1,1,0,0,0,0,0,0,,17/18
Wayne Hennessey,wls WAL,GK,Crystal Palace,30,1987,27,27,2430,27,41,1.52,127,88,68.5,8,6,13,7,25.9,1,1,0,0,0,17/18
Eldin Jakupović,ch SUI,GK,Leicester City,32,1984,2,2,180,2,6,3,13,8,53.8,1,0,1,0,0,0,0,0,0,,17/18
Loris Karius,de GER,GK,Liverpool,24,1993,19,19,1710,19,14,0.74,45,30,73.3,11,5,3,10,52.6,3,2,1,0,33.3,17/18
Orestis Karnezis,gr GRE,GK,Watford,32,1985,15,14,1292,14.4,24,1.67,56,32,62.5,4,3,7,4,28.6,3,3,0,0,0,17/18
Hugo Lloris,fr FRA,GK,Tottenham,30,1986,36,36,3240,36,35,0.97,117,82,71.8,22,7,7,15,41.7,3,2,0,1,0,17/18
Jonas Lössl,dk DEN,GK,Huddersfield,28,1989,38,38,3420,38,58,1.53,158,99,65.8,9,10,19,10,26.3,6,4,2,0,33.3,17/18
Alex McCarthy,eng ENG,GK,Southampton,27,1989,18,18,1620,18,26,1.44,68,42,63.2,3,8,7,4,22.2,1,1,0,0,0,17/18
Simon Mignolet,be BEL,GK,Liverpool,29,1988,19,19,1710,19,24,1.26,59,34,62.7,10,7,2,7,36.8,3,2,1,0,33.3,17/18
Boaz Myhill,wls WAL,GK,West Brom,34,1982,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,,17/18
David Ospina,co COL,GK,Arsenal,28,1988,5,4,381,4.2,3,0.71,12,9,75,3,0,1,2,50,0,0,0,0,,17/18
Jordan Pickford,eng ENG,GK,Everton,23,1994,38,38,3420,38,58,1.53,178,119,69.1,13,10,15,10,26.3,5,3,1,1,25,17/18
Nick Pope,eng ENG,GK,Burnley,25,1992,35,34,3115,34.6,35,1.01,148,113,78.4,12,11,11,12,35.3,5,3,1,1,25,17/18
Sergio Romero,ar ARG,GK,Manchester Utd,30,1987,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,17/18
Mathew Ryan,au AUS,GK,Brighton,25,1992,38,38,3420,38,54,1.42,172,121,69.2,9,13,16,10,26.3,3,1,2,0,66.7,17/18
Kasper Schmeichel,dk DEN,GK,Leicester City,30,1986,33,33,2965,32.9,47,1.43,138,90,66.7,11,10,12,8,24.2,3,1,2,0,66.7,17/18
Julián Speroni,ar ARG,GK,Crystal Palace,38,1979,11,11,990,11,14,1.27,43,29,69.8,3,5,3,2,18.2,1,1,0,0,0,17/18
Michel Vorm,nl NED,GK,Tottenham,33,1983,1,1,90,1,1,1,4,4,75,0,1,0,0,0,0,0,0,0,,17/18
Adrián,es ESP,GK,West Ham,29,1987,16,16,1440,16,25,1.56,78,53,70.5,5,4,7,6,37.5,3,2,0,1,0,16/17
Ryan Allsop,eng ENG,GK,Bournemouth,24,1992,1,1,90,1,1,1,5,4,80,0,1,0,0,0,0,0,0,0,,16/17
Asmir Begović,ba BIH,GK,Chelsea,29,1987,2,2,180,2,5,2.5,6,1,16.7,1,0,1,0,0,0,0,0,0,,16/17
Artur Boruc,pl POL,GK,Bournemouth,36,1980,35,35,3150,35,63,1.8,176,113,65.3,11,9,15,9,25.7,4,2,2,0,50,16/17
Claudio Bravo,cl CHI,GK,Manchester City,33,1983,22,22,1968,21.9,26,1.19,60,34,56.7,12,5,5,5,22.7,1,0,1,0,100,16/17
Jack Butland,eng ENG,GK,Stoke City,23,1993,5,5,450,5,8,1.6,24,16,66.7,1,2,2,2,40,0,0,0,0,,16/17
Willy Caballero,ar ARG,GK,Manchester City,34,1981,17,16,1452,16.1,13,0.81,45,32,75.6,11,4,1,6,37.5,4,2,0,2,0,16/17
Joel Castro Pereira,pt POR,GK,Manchester Utd,20,1996,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,16/17
Petr Čech,cz CZE,GK,Arsenal,34,1982,35,35,3097,34.4,37,1.08,150,113,81.3,22,5,7,12,34.3,9,9,0,0,0,16/17
Thibaut Courtois,be BEL,GK,Chelsea,24,1992,36,36,3240,36,28,0.78,99,71,73.7,29,3,4,16,44.4,2,2,0,0,0,16/17
Łukasz Fabiański,pl POL,GK,Swansea City,31,1985,37,37,3330,37,69,1.86,174,105,63.8,11,5,21,8,21.6,8,6,1,1,14.3,16/17
Adam Federici,au AUS,GK,Bournemouth,31,1985,2,2,180,2,3,1.5,8,5,62.5,1,0,1,1,50,1,0,0,1,,16/17
Fraser Forster,eng ENG,GK,Southampton,28,1988,38,38,3420,38,48,1.26,130,82,67.7,12,10,16,14,36.8,9,6,1,2,14.3,16/17
Ben Foster,eng ENG,GK,West Brom,33,1983,38,38,3420,38,51,1.34,160,109,70,12,9,17,6,15.8,3,3,0,0,0,16/17
David de Gea,es ESP,GK,Manchester Utd,25,1990,35,35,3150,35,29,0.83,103,74,75.7,16,14,5,14,40,4,4,0,0,0,16/17
Shay Given,ie IRL,GK,Stoke City,40,1976,5,5,450,5,14,2.8,33,19,60.6,0,1,4,0,0,2,1,1,0,50,16/17
Heurelho Gomes,br BRA,GK,Watford,35,1981,38,38,3337,37.1,64,1.73,177,113,65.5,11,7,19,6,15.8,4,3,1,0,25,16/17
Lee Grant,eng ENG,GK,Stoke City,33,1983,28,28,2520,28,34,1.21,123,89,72.4,10,8,10,9,32.1,0,0,0,0,,16/17
Brad Guzan,us USA,GK,Middlesbrough,31,1984,10,10,900,10,17,1.7,53,36,69.8,2,3,5,3,30,2,1,0,1,0,16/17
Tom Heaton,eng ENG,GK,Burnley,30,1986,35,35,3150,35,48,1.37,189,141,76.7,11,7,17,10,28.6,5,4,1,0,20,16/17
Wayne Hennessey,wls WAL,GK,Crystal Palace,29,1987,29,29,2610,29,46,1.59,133,87,66.9,9,3,17,7,24.1,2,2,0,0,0,16/17
Eldin Jakupović,ch SUI,GK,Hull City,31,1984,22,22,1980,22,36,1.64,107,71,70.1,8,4,10,5,22.7,7,4,2,1,33.3,16/17
Loris Karius,de GER,GK,Liverpool,23,1993,10,10,900,10,12,1.2,32,20,65.6,6,3,1,3,30,1,1,0,0,0,16/17
Hugo Lloris,fr FRA,GK,Tottenham,29,1986,34,34,3004,33.4,24,0.72,101,77,77.2,24,5,4,15,44.1,1,1,0,0,0,16/17
Steve Mandanda,fr FRA,GK,Crystal Palace,31,1985,9,9,810,9,17,1.89,43,26,60.5,3,2,4,0,0,0,0,0,0,,16/17
Vito Mannone,it ITA,GK,Sunderland,28,1988,9,9,810,9,19,2.11,59,40,71.2,1,2,6,2,22.2,2,2,0,0,0,16/17
David Marshall,sct SCO,GK,Hull City,31,1985,16,16,1440,16,44,2.75,107,63,65.4,1,3,12,0,0,7,7,0,0,0,16/17
Emiliano Martínez,ar ARG,GK,Arsenal,23,1992,2,2,180,2,3,1.5,8,5,75,1,0,1,1,50,1,1,0,0,0,16/17
Simon Mignolet,be BEL,GK,Liverpool,28,1988,28,28,2520,28,30,1.07,82,52,65.9,16,7,5,9,32.1,4,2,2,0,50,16/17
Kristoffer Nordfeldt,se SWE,GK,Swansea City,27,1989,1,1,90,1,1,1,5,4,80,1,0,0,0,0,0,0,0,0,,16/17
David Ospina,co COL,GK,Arsenal,27,1988,2,1,143,1.6,4,2.52,9,5,55.6,0,1,1,0,0,0,0,0,0,,16/17
Costel Pantilimon,ro ROU,GK,Watford,29,1987,2,0,83,0.9,4,4.34,10,6,60,0,0,1,0,,0,0,0,0,,16/17
Jordan Pickford,eng ENG,GK,Sunderland,22,1994,29,29,2610,29,50,1.72,189,139,74.6,5,4,20,4,13.8,2,2,0,0,0,16/17
Darren Randolph,ie IRL,GK,West Ham,29,1987,22,22,1980,22,39,1.77,104,65,65.4,7,5,10,4,18.2,5,3,1,1,25,16/17
Paul Robinson,eng ENG,GK,Burnley,36,1979,3,3,270,3,7,2.33,19,12,63.2,0,0,3,0,0,0,0,0,0,,16/17
Joel Robles,es ESP,GK,Everton,26,1990,20,19,1737,19.3,20,1.04,80,60,77.5,12,4,3,10,52.6,2,2,0,0,0,16/17
Sergio Romero,ar ARG,GK,Manchester Utd,29,1987,2,2,180,2,0,0,10,10,100,1,1,0,2,100,1,0,1,0,100,16/17
Kasper Schmeichel,dk DEN,GK,Leicester City,29,1986,30,30,2666,29.6,47,1.59,157,110,72,10,7,13,8,26.7,3,3,0,0,0,16/17
Maarten Stekelenburg,nl NED,GK,Everton,33,1982,19,19,1683,18.7,24,1.28,68,44,66.2,5,6,8,3,15.8,3,1,1,1,50,16/17
Víctor Valdés,es ESP,GK,Middlesbrough,34,1982,28,28,2520,28,36,1.29,118,82,72,3,10,15,8,28.6,3,3,0,0,0,16/17
Michel Vorm,nl NED,GK,Tottenham,32,1983,5,4,416,4.6,2,0.43,9,7,88.9,2,3,0,2,50,1,1,0,0,0,16/17
Ron-Robert Zieler,de GER,GK,Leicester City,27,1989,9,8,754,8.4,16,1.91,33,17,51.5,2,1,5,1,12.5,0,0,0,0,,16/17