tabla,team1,team2
premier_league,Hull City,Leicester City
premier_league,Everton,Tottenham Hotspur
premier_league,Crystal Palace,West Brom
premier_league,Burnley,Swansea City
premier_league,Southampton,Watford
premier_league,Middlesbrough,Stoke City
premier_league,Manchester City,Sunderland
premier_league,AFC Bournemouth,Manchester United
premier_league,Arsenal,Liverpool
premier_league,Chelsea,West Ham
premier_league,Manchester United,Southampton
premier_league,Stoke City,Manchester City
premier_league,Tottenham Hotspur,Crystal Palace
premier_league,Swansea City,Hull City
premier_league,Watford,Chelsea
premier_league,West Brom,Everton
premier_league,Leicester City,Arsenal
premier_league,Sunderland,Middlesbrough
premier_league,West Ham,AFC Bournemouth
premier_league,Liverpool,Burnley
premier_league,Brighton and Hove Albion,Huddersfield Town
premier_league,Newcastle United,Brighton and Hove Albion
premier_league,Huddersfield Town,Newcastle United
premier_league,Fulham,Cardiff City
premier_league,Wolves,Wolves
premier_league,Cardiff City,Fulham
premier_league,Aston Villa,Norwich City
premier_league,Norwich City,Sheffield United
premier_league,Sheffield United,Aston Villa
premier_league,Leeds,Leeds
premier_league,Brentford,Brentford